module,method,path,normalized_path,controller_file,line
marcaje,POST,/marcaje/admin/reiniciar/:carnet,/marcaje/admin/reiniciar/:param,marcaje/marcaje.controller.ts,151
marcaje,GET,/marcaje/admin/reportes,/marcaje/admin/reportes,marcaje/marcaje.controller.ts,166
marcaje,GET,/marcaje/admin/sites,/marcaje/admin/sites,marcaje/marcaje.controller.ts,105
marcaje,POST,/marcaje/admin/sites,/marcaje/admin/sites,marcaje/marcaje.controller.ts,176
marcaje,DELETE,/marcaje/admin/sites/:id,/marcaje/admin/sites/:param,marcaje/marcaje.controller.ts,192
marcaje,PUT,/marcaje/admin/sites/:id,/marcaje/admin/sites/:param,marcaje/marcaje.controller.ts,184
marcaje,GET,/marcaje/admin/solicitudes,/marcaje/admin/solicitudes,marcaje/marcaje.controller.ts,100
marcaje,PUT,/marcaje/admin/solicitudes/:id/resolver,/marcaje/admin/solicitudes/:param/resolver,marcaje/marcaje.controller.ts,127
marcaje,POST,/marcaje/correccion,/marcaje/correccion,marcaje/marcaje.controller.ts,72
marcaje,POST,/marcaje/geocerca/validar,/marcaje/geocerca/validar,marcaje/marcaje.controller.ts,213
marcaje,POST,/marcaje/gps-track,/marcaje/gps-track,marcaje/marcaje.controller.ts,85
marcaje,POST,/marcaje/gps-track-batch,/marcaje/gps-track-batch,marcaje/marcaje.controller.ts,90
marcaje,POST,/marcaje/mark,/marcaje/mark,marcaje/marcaje.controller.ts,37
marcaje,POST,/marcaje/request-correction,/marcaje/request-correction,marcaje/marcaje.controller.ts,72
marcaje,GET,/marcaje/summary,/marcaje/summary,marcaje/marcaje.controller.ts,61
marcaje,POST,/marcaje/undo-last,/marcaje/undo-last,marcaje/marcaje.controller.ts,66
marcaje,POST,/marcaje/undo-last-checkout,/marcaje/undo-last-checkout,marcaje/marcaje.controller.ts,66
planning,GET,/mi-dia,/mi-dia,planning/controllers/agenda.controller.ts,18
planning,POST,/mi-dia/checkin,/mi-dia/checkin,planning/controllers/agenda.controller.ts,24
planning,GET,/planning/approvals,/planning/approvals,planning/planning.controller.ts,81
planning,POST,/planning/approvals/:idSolicitud/resolve,/planning/approvals/:param/resolve,planning/planning.controller.ts,116
planning,POST,/planning/check-permission,/planning/check-permission,planning/planning.controller.ts,33
planning,GET,/planning/dashboard/alerts,/planning/dashboard/alerts,planning/planning.controller.ts,336
planning,GET,/planning/debug,/planning/debug,planning/planning.controller.ts,367
planning,GET,/planning/grupos/:idGrupo,/planning/grupos/:param,planning/planning.controller.ts,329
planning,GET,/planning/mi-asignacion,/planning/mi-asignacion,planning/planning.controller.ts,346
planning,GET,/planning/my-projects,/planning/my-projects,planning/planning.controller.ts,223
planning,GET,/planning/pending,/planning/pending,planning/planning.controller.ts,72
planning,GET,/planning/plans,/planning/plans,planning/planning.controller.ts,156
planning,POST,/planning/plans,/planning/plans,planning/planning.controller.ts,181
planning,POST,/planning/plans/:id/close,/planning/plans/:param/close,planning/planning.controller.ts,270
planning,POST,/planning/reassign,/planning/reassign,planning/planning.controller.ts,237
planning,POST,/planning/request-change,/planning/request-change,planning/planning.controller.ts,48
planning,POST,/planning/resolve,/planning/resolve,planning/planning.controller.ts,89
planning,GET,/planning/stats,/planning/stats,planning/planning.controller.ts,186
planning,GET,/planning/stats/bottlenecks,/planning/stats/bottlenecks,planning/planning.controller.ts,211
planning,GET,/planning/stats/compliance,/planning/stats/compliance,planning/planning.controller.ts,198
planning,GET,/planning/stats/performance,/planning/stats/performance,planning/planning.controller.ts,203
planning,GET,/planning/supervision,/planning/supervision,planning/planning.controller.ts,359
planning,POST,/planning/tasks/:id/agregar-fase,/planning/tasks/:param/agregar-fase,planning/planning.controller.ts,317
planning,GET,/planning/tasks/:id/avance-mensual,/planning/tasks/:param/avance-mensual,planning/planning.controller.ts,293
planning,POST,/planning/tasks/:id/avance-mensual,/planning/tasks/:param/avance-mensual,planning/planning.controller.ts,275
planning,POST,/planning/tasks/:id/clone,/planning/tasks/:param/clone,planning/planning.controller.ts,232
planning,POST,/planning/tasks/:id/crear-grupo,/planning/tasks/:param/crear-grupo,planning/planning.controller.ts,306
planning,GET,/planning/tasks/:id/history,/planning/tasks/:param/history,planning/planning.controller.ts,257
planning,GET,/planning/team,/planning/team,planning/planning.controller.ts,218
planning,POST,/planning/update-operative,/planning/update-operative,planning/planning.controller.ts,140
software,GET,/software/dashboard-stats,/software/dashboard-stats,software/software.controller.ts,13
visita-cliente,POST,/visita-admin/agenda,/visita-admin/agenda,visita-cliente/visita-admin.controller.ts,79
visita-cliente,GET,/visita-admin/agenda/:carnet,/visita-admin/agenda/:param,visita-cliente/visita-admin.controller.ts,71
visita-cliente,DELETE,/visita-admin/agenda/:id,/visita-admin/agenda/:param,visita-cliente/visita-admin.controller.ts,99
visita-cliente,PUT,/visita-admin/agenda/:id/reordenar,/visita-admin/agenda/:param/reordenar,visita-cliente/visita-admin.controller.ts,92
visita-cliente,POST,/visita-admin/clientes,/visita-admin/clientes,visita-cliente/visita-admin.controller.ts,33
visita-cliente,DELETE,/visita-admin/clientes/:id,/visita-admin/clientes/:param,visita-cliente/visita-admin.controller.ts,43
visita-cliente,PUT,/visita-admin/clientes/:id,/visita-admin/clientes/:param,visita-cliente/visita-admin.controller.ts,35
visita-cliente,GET,/visita-admin/dashboard,/visita-admin/dashboard,visita-cliente/visita-admin.controller.ts,52
visita-cliente,POST,/visita-admin/importar-clientes,/visita-admin/importar-clientes,visita-cliente/visita-admin.controller.ts,28
visita-cliente,GET,/visita-admin/metas,/visita-admin/metas,visita-cliente/visita-admin.controller.ts,103
visita-cliente,POST,/visita-admin/metas,/visita-admin/metas,visita-cliente/visita-admin.controller.ts,110
visita-cliente,GET,/visita-admin/reportes/km,/visita-admin/reportes/km,visita-cliente/visita-admin.controller.ts,57
visita-cliente,GET,/visita-admin/tracking/:carnet,/visita-admin/tracking/:param,visita-cliente/visita-admin.controller.ts,64
visita-cliente,GET,/visita-admin/visitas,/visita-admin/visitas,visita-cliente/visita-admin.controller.ts,47
visita-cliente,GET,/visita-campo/agenda,/visita-campo/agenda,visita-cliente/visita-campo.controller.ts,28
visita-cliente,POST,/visita-campo/checkin,/visita-campo/checkin,visita-cliente/visita-campo.controller.ts,42
visita-cliente,POST,/visita-campo/checkout,/visita-campo/checkout,visita-cliente/visita-campo.controller.ts,47
visita-cliente,GET,/visita-campo/clientes,/visita-campo/clientes,visita-cliente/visita-campo.controller.ts,37
visita-cliente,GET,/visita-campo/resumen,/visita-campo/resumen,visita-cliente/visita-campo.controller.ts,52
visita-cliente,GET,/visita-campo/stats/km,/visita-campo/stats/km,visita-cliente/visita-campo.controller.ts,62
visita-cliente,POST,/visita-campo/tracking-batch,/visita-campo/tracking-batch,visita-cliente/visita-campo.controller.ts,57
visita-cliente,GET,/visita-campo/tracking-raw,/visita-campo/tracking-raw,visita-cliente/visita-campo.controller.ts,67
visita-cliente,GET,/visita-campo/usuarios-tracking,/visita-campo/usuarios-tracking,visita-cliente/visita-campo.controller.ts,75
